year,month,rank,title,author,publisher,publish_date,price,discount,review_cnt,score,site
2025,12,1,무적 LG : V4 달성 기념 화보집,편집부,스포츠서울,2025년11월,39600,10,5,10.0,예스24
2025,12,2,최소한의 삼국지,최태성,프런트페이지,2025년11월,17550,10,31,9.2,예스24
2025,12,3,위대한 응원! 새로운 비상! 한화 이글스,편집부,스포츠서울,2025년11월,39600,10,2,10.0,예스24
2025,12,4,트렌드 코리아 2026,"김난도, 전미영, 최지혜, 권정윤, 한다혜 외 7명",미래의창,2025년09월,18000,10,163,9.2,예스24
2025,12,5,어른의 행복은 조용하다,태수,페이지2북스,2024년11월,16020,10,401,9.5,예스24
2025,12,6,혼모노,성해나,창비,2025년03월,16200,10,674,9.1,예스24
2025,12,7,피크 코리아,백우열,현암사,2025년12월,20700,10,0,0.0,예스24
2025,12,8,박곰희 연금 부자 수업,박곰희,인플루엔셜,2025년06월,18900,10,180,9.7,예스24
2025,12,9,괴테는 모든 것을 말했다,스즈키 유이,리프,2025년11월,15300,10,64,9.7,예스24
2025,12,10,절창 切創,구병모,문학동네,2025년09월,16200,10,188,9.3,예스24
2025,12,11,흔한남매 21 (특별한정판),흔한남매,미래엔아이세움,2025년12월,34200,10,1,10.0,예스24
2025,12,12,위버멘쉬,프리드리히 니체,떠오름,2025년03월,16020,10,465,9.4,예스24
2025,12,13,다크 심리학,다크 사이드 프로젝트,어센딩,2025년07월,19710,10,122,9.2,예스24
2025,12,14,너를 아끼며 살아라,나태주,더블북,2025년06월,16650,10,51,9.8,예스24
2025,12,15,학생회에도 구멍은 있다! 공식 풀컬러판 《생구멍 셀렉션!》,무치마로,소미미디어,2025년12월,10800,10,0,0.0,예스24
2025,12,16,모순,양귀자,쓰다,2013년04월,11700,10,1804,9.6,예스24
2025,12,17,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024년10월,21420,10,849,9.5,예스24
2025,12,18,자몽살구클럽,한로로,어센틱,2025년07월,10800,10,89,9.1,예스24
2025,12,19,손자병법,손자,현대지성,2025년10월,11700,10,174,9.9,예스24
2025,12,20,흔한남매 21,흔한남매,미래엔아이세움,2025년12월,15120,10,0,0.0,예스24
2025,12,21,이상한 과학책,김진우,빅피시,2025년11월,16920,10,50,10.0,예스24
2025,12,22,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북,2025년12월,17100,10,0,0.0,예스24
2025,12,23,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 지훈, 서원진",한빛미디어,2025년05월,18000,10,59,9.8,예스24
2025,12,24,소년이 온다,한강,창비,2014년05월,13500,10,4537,9.7,예스24
2025,12,25,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북,2025년12월,16650,10,0,0.0,예스24
2025,12,26,초등 공부 자신감 : 확실한 차이를 만드는 습관,임민찬,한빛에듀,2025년12월,15750,10,257,10.0,예스24
2025,12,27,나나 올리브에게,루리,문학동네,2025년11월,13500,10,8,10.0,예스24
2025,12,28,단 한 줄만 내 마음에 새긴다고 해도,나민애,포레스트북스,2025년06월,21420,10,121,9.8,예스24
2025,12,29,마일리지 아워,최유나,북로망스,2025년11월,19800,10,16,9.9,예스24
2025,12,30,류수영의 평생 레시피,류수영,세미콜론,2025년06월,22500,10,314,9.7,예스24
2025,12,31,찍히지 않습니다 4 한정판,코노시마 루카,소미미디어,2025년12월,27000,10,0,0.0,예스24
2025,12,32,최소한의 한국사 (20만 부 기념 광복에디션),최태성,프런트페이지,2023년06월,16200,10,731,9.8,예스24
2025,12,33,호의에 대하여,문형배,김영사,2025년08월,16920,10,207,9.3,예스24
2025,12,34,급류,정대건,민음사,2022년12월,12600,10,514,8.8,예스24
2025,12,35,편안함의 습격,마이클 이스터,수오서재,2025년06월,19800,10,155,9.7,예스24
2025,12,36,머니 트렌드 2026,"김도윤, 정태익, 김광석, 김승주, 김용섭 외 3명",북모먼트,2025년09월,23400,10,83,9.5,예스24
2025,12,37,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,2021년01월,17820,10,1189,9.4,예스24
2025,12,38,코스모스,칼 에드워드 세이건,사이언스북스,2006년12월,19800,10,2180,9.6,예스24
2025,12,39,찍히지 않습니다 4,코노시마 루카,소미미디어,2025년12월,5850,10,0,0.0,예스24
2025,12,40,ETF 투자의 모든 것,문일호,매일경제신문사,2025년08월,18900,10,73,9.7,예스24
2025,12,41,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,YBM(와이비엠),2023년12월,17820,10,540,9.8,예스24
2025,12,42,기분이 태도가 되지 않게 (헬로키티 에디션),레몬심리,갤리온,2025년11월,16200,10,16,9.5,예스24
2025,12,43,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS,YBM(와이비엠),2023년12월,17820,10,467,9.8,예스24
2025,12,44,대형주 추세추종 투자법칙,이종호(전황),사피엔테스,2025년11월,19800,10,60,9.5,예스24
2025,12,45,흔한남매 과학 탐험대 16 힘과 운동,흔한남매,주니어김영사,2025년12월,15120,10,0,0.0,예스24
2025,12,46,해커스 토익 기출 VOCA (보카),David Cho,해커스어학연구소,2024년08월,11610,10,1166,9.6,예스24
2025,12,47,안녕이라 그랬어,김애란,문학동네,2025년06월,15120,10,245,9.8,예스24
2025,12,48,넥서스,유발 하라리,김영사,2024년10월,25020,10,389,9.2,예스24
2025,12,49,에그박사 17,에그박사,미래엔아이세움,2025년11월,15120,10,7,10.0,예스24
2025,12,50,다정한 사람이 이긴다,이해인,필름,2025년08월,17100,10,119,8.8,예스24
